,muon_eta,muon_id,muon_iso,muon_phi,muon_pt,passes_trigger
239,-2.3390107,0.0,0.50548077,2.953126,1.2500103,0
240,0.8386954,1.0,72.82761,-1.4649599,10.537338,0
241,-0.36062264,0.0,35.47682,1.2377661,11.955266,0
242,-0.9796133,1.0,3.9330347,0.66706264,113.32828,0
243,2.2026896,0.0,0.0,-2.912409,1.7537155,0
244,-1.7787174,0.0,3.5626771,0.13318266,1.4163641,0
245,2.2850258,0.0,0.0,-0.67247665,1.0402843,0
246,0.5291186,0.0,84.08506,-0.542286,39.692955,0
247,1.5109684,1.0,24.906002,0.7237555,3.5706902,0
248,-2.3604283,0.0,0.0,2.4480476,0.47939014,0
249,-2.2677286,0.0,0.0,2.49253,1.800662,0
250,-1.6059958,1.0,10.137001,0.37851846,46.587708,0
251,-2.4665382,0.0,0.0,1.7524145,5.8796577,0
252,2.0799198,0.0,0.0,1.0074133,1.6502886,0
253,-1.5536296,0.0,0.0,-0.8539271,1.6594062,0
254,0.102674246,0.0,19.665064,2.6408403,4.1835904,0
255,2.3547833,0.0,2.2036557,-1.7111316,0.9188003,0
256,-0.7316864,1.0,36.74842,-0.60900307,4.3679223,0
257,1.9364859,0.0,0.0,-2.0581832,1.0525116,0
258,2.280625,0.0,0.0,0.15730436,1.1120573,0
259,-2.0613513,0.0,0.79262424,-0.48264462,0.9052716,0
260,1.7145364,0.0,2.6556869,2.0539486,1.3772004,0
261,-2.0111232,0.0,0.0,-0.30464017,1.2982881,0
262,0.014207009,0.0,136.44348,0.95242155,21.345325,0
263,1.4880086,1.0,53.60497,-0.97856474,3.0591793,0
264,-0.9800241,1.0,42.73475,-1.8209498,32.300896,0
265,2.2275631,0.0,0.556155,3.1307037,1.9476802,0
266,2.0708663,0.0,4.977085,2.0307655,5.4067216,0
267,-2.4892626,0.0,0.0,-2.5024204,1.4602948,0
268,0.3860709,0.0,137.40393,-0.6835602,3.407374,0
269,0.3818225,1.0,120.461235,3.0737243,30.896921,0
270,-1.9703039,0.0,0.0,1.5039842,1.0875006,0
271,-0.5526949,1.0,2.2635984,-1.2378012,3.5045905,0
272,-1.3511525,0.0,2.1504896,0.78342813,2.750469,0
273,0.7913496,1.0,0.3116164,-1.6445351,3.4586535,0
274,-1.9479245,0.0,0.88794374,-1.24139,0.9119278,0
275,1.5872111,1.0,39.124447,1.0356826,46.810844,0
276,-0.29047823,0.0,40.800865,2.5298066,6.7200065,0
277,-1.9288287,0.0,2.7446976,2.772565,2.384781,0
278,-1.9510604,0.0,0.28282705,2.9932697,1.3393579,0
279,-0.6029945,0.0,3.5700576,-2.9357271,4.8350425,0
280,-1.2487632,0.0,10.109061,-1.6012177,3.6604187,0
281,2.241083,0.0,5.411154,-0.9030032,1.1609336,0
282,-0.6678784,0.0,93.774414,2.0107734,87.632164,0
283,1.7382741,0.0,0.0,-0.007781335,1.1629636,0
284,-0.49179602,0.0,64.7798,-2.06946,11.984883,0
285,-2.1038346,0.0,0.55961794,1.8399733,0.7935972,0
286,-2.2235825,0.0,3.5040495,0.5682252,2.3634946,0
287,-2.2149217,0.0,0.0,2.5844674,0.8568654,0
288,-2.136724,0.0,0.8372495,1.59597,1.4995183,0
289,1.7171433,0.0,0.6515622,2.8427603,1.2845855,0
290,-0.16861206,0.0,9.242731,2.3765557,5.3183117,0
291,-0.26406357,1.0,38.96991,1.8689687,4.4897337,0
292,-2.3006337,0.0,0.0,-2.2057414,1.0955647,0
293,0.017935239,1.0,20.768187,-2.839167,5.72142,0
294,0.7837609,0.0,105.37681,0.02932442,45.349865,0
295,0.62894934,1.0,41.737247,-1.6523358,5.621005,0
296,-1.1777135,1.0,3.18295,-1.5282905,9.824278,0
